name,price,url
Walkers Quavers Cheese Crisp Snacks 34g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-quavers-cheese-crisp-snacks-34g
KitKat Chunky Peanut Butter Milk Chocolate Bar 42g,95p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kit-kat-chunky-peanut-butter-chocolate-bar-42g-7731117-p
Sainsbury's On the Go Free Range Egg Protein Pot Meal Snack 90g,£1.30,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-free-range-egg-protein-pot-meal-snack-90g
Walkers Cheese & Onion Crisps 45g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-cheese-onion-crisps-50g
Cadbury Wispa Chocolate Bar 36g,£1.05,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-wispa-bar
Reese's Peanut Butter Cups x2 42g,£1.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/reeses-peanut-butter-cups-x2-42g
Sainsbury's Carrot & Houmous 100g,£1.30,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-carrot-houmous-100g
Sainsbury's On The Go Vegetable Samosas x2,£1.30,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-vegetable-samosa
Walkers Max Crisps Paprika 50g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-max-crisps-paprika-50g
Walkers Max Flame Grilled Steak Crisps 50g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-max-flame-grilled-steak-50g
Rhythm 108 Creamy Coconut with Swiss Dark Chocolate 33g,£1.50,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/rhythm-108-gluten-free-super-coconut-swiss-dark-chocolate-33g
KIND Caramel Almond & Sea Salt Snack Bar 40g,£1.40,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kind-nuts---spices-caramel-almond---sea-salt-bar-40g
Snickers Caramel Nougat Peanuts & Milk Chocolate Snack Bar 48g,95p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/snickers-single-58g
Nakd Blueberry Muffin Fruit & Nut Bar 35g,£1.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/nakd-bar-blueberry-muffin-35g
Walkers Salt & Vinegar Crisps 45g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-salt-vinegar-crisps-45g
McCoy's Salt and Malt Vinegar Grab Bag Crisps 45g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mccoys-salt---vinegar-50g
Walkers Wotsits Really Cheesy Crisp Snacks 36g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-wotsits-really-cheesy-crisp-snacks-36g
Sainsbury's On the Go Roasted & Salted Mixed Nuts 60g,£1.05,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-roasted-salted-mixed-nuts-60g
Graze Snack Box Oat Boosts Peanut Butter Protein Flapjack 50g,£1.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/graze-peanut-butter-chcolate-fjack-50g
Cadbury Picnic Chocolate Bar 48g,£1.05,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-picnic-484g
Sainsbury's Trio Of Olives 60g,£1.30,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-trio-of-olives-60g
Mega Monster Munch Pickled Onion Snacks Crisps 40g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-munch-pickled-onion-40g-6853491-p-44
Sainsbury's On the Go Pineapple 160g,£1.35,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-pineapple-160g
Kinder Bueno Milk Chocolate & Hazelnuts Single Bar 2x21.5g,£1.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kinder-bueno-43g
Twix Caramel & Milk Chocolate Fingers Biscuit Snack Bar 50g,95p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/twix-twin-58g
Sainsbury's Food To Go Roasted Cashews 23g,80p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-food-to-go-roasted-cashews-23g
