sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
8111424,Sainsbury's Coronation Chicken with Apricots & Sultanas,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-coronation-chicken-with-apricots-sultanas,3.25,https://assets.sainsburys-groceries.co.uk/gol/8111424/1/640x640.jpg,"Chicken breast, mayonnaise with curry spices, spinach, apricots and sultanas on white bread with black onion seeds","{'Egg', 'Mustard', 'Sulphur Dioxide', 'Milk', 'Wheat'}",204.4117647,417,MEDIUM,LOW,MEDIUM,MEDIUM,4.5,417,12.2,3.1,5.9,2.9,52.8,11.4,41.4,4.1,21.8,1.49
7799556,Sainsbury's On the Go Chicken & Bacon Caesar Wrap,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-chicken-bacon-caesar-wrap,3.25,https://assets.sainsburys-groceries.co.uk/gol/7799556/1/640x640.jpg,"Chicken, Caesar mayonnaise, lettuce, smoked bacon and Italian style hard cheese in a tortilla wrap","{'Egg', 'Mustard', 'Fish', 'Milk', 'Wheat'}",203.6144578,507,HIGH,MEDIUM,LOW,MEDIUM,4.1,507,22.7,6,11.7,5,52.6,3.9,49,3,21.6,1.69
7797564,Sainsbury's Tuna & Sweetcorn Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-tuna---sweetcorn-sandwich,2.25,https://assets.sainsburys-groceries.co.uk/gol/7797564/1/640x640.jpg,Tuna and sweetcorn with mayonnaise on malted bread,"{'Egg', 'Mustard', 'Fish', 'Barley', 'Wheat'}",194.6107784,325,MEDIUM,LOW,LOW,MEDIUM,3.8,325,6.8,1,3.3,2.1,42.7,5.5,37.2,3.7,21.3,1.05
7799118,"Sainsbury's Maple Cured Bacon, Lettuce & Tomato Sandwich",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-maple-cured-bacon--lettuce---tomato-sandwich,3.00,https://assets.sainsburys-groceries.co.uk/gol/7799118/1/640x640.jpg,"Beechwood smoked bacon, tomato, lettuce and mayonnaise on malted bread","{'Egg', 'Barley', 'Mustard', 'Wheat'}",188.3495146,388,MEDIUM,MEDIUM,LOW,MEDIUM,3.6,388,14.7,4.1,6.8,3.2,41.2,5.8,35.3,3.8,20.9,1.41
7797572,Sainsbury's Smoked Ham & Mustard Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-smoked-ham---mustard-sandwich,3.00,https://assets.sainsburys-groceries.co.uk/gol/7797572/1/640x640.jpg,"Oak smoked formed ham with added water, mayonnaise and mustard on oatmeal bread","{'Wheat ', 'Egg', 'Mustard', 'Oatmeal', 'Barley', 'Wheat'}",162.4309392,294,MEDIUM,LOW,LOW,HIGH,3.9,294,6.5,1.3,3.2,1.8,38.1,3.4,34.7,2.3,19.6,2.19
8185810,Sainsbury's Chicken & Bacon Pasta 280g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chicken-bacon-pasta-280g,3.00,https://assets.sainsburys-groceries.co.uk/gol/8185810/1/640x640.jpg,"Cooked pasta, sweetcorn and tomato in a barbecue mayonnaise dressing topped with barbecue marinated cooked chicken and cooked bacon","{'Milk', 'Mustard', 'Wheat', 'Egg'}",280,422,MEDIUM,LOW,LOW,MEDIUM,3.5,422,14.5,3.4,6.8,3.6,51.5,8,43.5,4.3,19.3,1.23
7798602,Sainsbury's Red Leicester Ploughmans Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-red-leicester-ploughmans-sandwich,3.00,https://assets.sainsburys-groceries.co.uk/gol/7798602/1/640x640.jpg,"Red Leicester cheese, tomato, Branston® small chunk pickle and lettuce on malted bread","{'Milk', 'Barley', 'Wheat', '\xa0'}",203.1111111,457,MEDIUM,HIGH,LOW,HIGH,4.3,457,18.9,11,5,1.4,50,9.8,40.2,4.7,19.3,2.19
7798436,"Sainsbury's Mozzarella, Tomato, Mayonnaise & Basil Pesto Tortilla Wrap",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-mozzarella-tomato-mayonnaise-basil-pesto-tortilla-wrap,3.25,https://assets.sainsburys-groceries.co.uk/gol/7798436/1/640x640.jpg,"Mozzarella, slow roast tomatoes, rocket, mayonnaise and basil pesto in a tortilla wrap.","{'Milk', 'Mustard', 'Wheat', 'Egg'}",185.0393701,470,MEDIUM,HIGH,LOW,MEDIUM,4.6,470,20.4,8,8.7,3.7,50.9,4.8,45.9,3,19.2,1.51
8181906,Sainsbury's Free From Chicken Mayo,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-gluten-free-chicken-mayo-sandwich,3.25,https://assets.sainsburys-groceries.co.uk/gol/8181906/1/640x640.jpg,Chicken with seasoned mayonnaise on gluten free seeded bread,"{'Egg', 'Mustard'}",169.9507389,345,MEDIUM,LOW,LOW,MEDIUM,3.4,345,15.6,1.6,,,27.5,1.2,,,18.9,1.17
8185812,Sainsbury's Honey & Mustard Chicken Pasta 280g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-honey-mustard-chicken-pasta-280g,2.95,https://assets.sainsburys-groceries.co.uk/gol/8185812/1/640x640.jpg,"Cooked pasta, sweetcorn, red pepper and tomato in a honey and mustard mayonnaise dressing with cooked marinated chicken","{'Milk', 'Mustard', 'Wheat', 'Egg'}",280,426,MEDIUM,LOW,LOW,MEDIUM,1.4,426,13.1,2.5,6.4,3.6,56.4,11,45.4,3.9,18.8,0.91
