name,price,url
Sainsbury's Tuna & Sweetcorn Pasta 300g,£3.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-tuna-sweetcorn-pasta-300g
Sainsbury's Coronation Chicken with Apricots & Sultanas,£3.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-coronation-chicken-with-apricots-sultanas
Sainsbury's Prawn Layer Salad,£3.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-prawn-layer-salad
Sainsbury's Chicken & Bacon Pasta 280g,£3.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chicken-bacon-pasta-280g
Plant Pioneers Vegan Hoisin No Duck Wrap,£3.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plant-pioneers-hoisin-no-duck
Sainsbury's Pesto Pasta Salad,£3.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-pesto-pasta-salad
Plant Pioneers Southern Fried No Chicken Wrap,£3.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plant-pioneers-southern-fried-no-chicken-wrap
Sainsbury's No Mayo Hoisin Duck,£3.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-no-mayo-hoisin-duck
"Sainsbury's Katsu Chicken, Autumn Edition",£3.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chicken-katsu-wrap
Sainsbury's Honey & Mustard Chicken Pasta 280g,£2.95,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-honey-mustard-chicken-pasta-280g
"Sainsbury's Plant Pioneers VLT La Vie Vegan Bacon, Lettuce & Tomato with Vegan Baconaise",£3.15,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plant-pioneer-vlt-sandwich
Sainsbury's Free From Chicken Mayo,£3.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-gluten-free-chicken-mayo-sandwich
Sainsbury’s Gluten Free Egg & Cress Sandwich,£3.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-goodfellas-egg-cress-sandwich
Sainsbury's Spanish Style Chicken Sandwich,£2.85,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-summer-chicken-chorizo
Chicken & Duck Medium Pack,£3.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/chicken-duck-medium-pack
Nomadic Power Pot Chocolate Brownie 190g,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/nomadic-power-pot-chocolate-brownie-190g
Sainsbury's Mixed Berry Bircher with Greek Style Yogurt 190g,£2.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-mixed-berry-bircher-with-greek-style-yogurt-190g
Sainsbury's Apple & Cinnamon Bircher with Greek Style Yogurt 190g,£2.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-apple-cinnamon-bircher-with-greek-style-yogurt-190g
Sainsbury's Chicken & Bacon,£2.85,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chicken-bacon
"Sainsbury's No Mayo Sweet Chilli Chicken, Limited Edition",£3.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-no-mayo-sweet-chilli-chicken-limited-edition
"Sainsbury's Three Bean Burrito, Limited Edition",£3.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-three-bean-burrito-limited-edition
