sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
8190951,Eat Natural Almond Apricot with a Yoghurt Coating Fruit & Nut Bars 40g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/eat-natural-almond-apricot-with-a-yoghurt-coating-fruit-nut-bars-40g,1.25,https://assets.sainsburys-groceries.co.uk/gol/8190951/1/640x640.jpg,A bar of nuts and dried fruit with a yoghurt flavour coating,,40,190,,,,,4.7,,,,,,,,,,,
8192213,Cadbury Starbar Duo Chocolate Bar 74g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-starbar-duo-chocolate-bar-74g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8192213/1/640x640.jpg,2 Milk Chocolate Bars With Caramel (30 %) And Peanut (23 %) Centre.,,74,188,,,,,4.8,,,,,,,,,,,
7900282,Sainsbury's On the Go Roasted & Salted Mixed Nuts 60g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-roasted-salted-mixed-nuts-60g,1.05,https://assets.sainsburys-groceries.co.uk/gol/7900282/1/640x640.jpg,"Roasted and salted peanuts, cashew nuts and almonds","{'Cashew Nuts', 'Peanuts', 'Almonds'}",60,186,HIGH,HIGH,LOW,MEDIUM,4.7,186,15.6,2.4,8.3,4.2,3.2,1.4,1.7,2.7,6.9,0.14
2517155,Cadbury Crunchie Chocolate Bar Single 40g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-crunchie-bar-40g,1.05,https://assets.sainsburys-groceries.co.uk/gol/2517155/1/640x640.jpg,Milk Chocolate With Golden Honeycombed Centre (38%).,,40,186,,,,,5,,,,,,,,,,,
8173485,KP Roasted Peanuts Dry Snack Pack 30g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kp-snack-pack-dry-roasted-peanuts-30g,0.70,https://assets.sainsburys-groceries.co.uk/gol/8173485/1/640x640.jpg,Dry Roasted Peanuts,,30,179,,,,,4,,,,,,,,,,,
7920998,Walkers Squares Salt & Vinegar Snacks Crisps 40g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-squares-salt-vinegar-snacks-crisps-40g,1.10,https://assets.sainsburys-groceries.co.uk/gol/7920998/1/640x640.jpg,Salt & Vinegar Flavour Potato Snack,,40,177,HIGH,LOW,LOW,HIGH,4.7,,,,,,,,,,,
3567272,Kellogg's Nutri-Grain Bakes Raisin 45g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kelloggs-nutri-grain-elevenses-raisin-bake-45g,0.85,https://assets.sainsburys-groceries.co.uk/gol/3567272/1/640x640.jpg,"Wheat and Oat Bakes with Raisins, Fortified with Vitamins and Iron.",,45,170,,,,,4,,,,,,,,,,,
2566382,Cadbury Flake Chocolate Bar 32g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-flake-32g,1.05,https://assets.sainsburys-groceries.co.uk/gol/2566382/1/640x640.jpg,"The Crumbliest, Flakiest Milk Chocolate",,32,168,,,,,4.8,,,,,,,,,,,
7855016,Yorkie Raisin & Biscuit Chocolate Duo Bar 66g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/yorkie-raisin-biscuit-chocolate-duo-bar-66g,1.15,https://assets.sainsburys-groceries.co.uk/gol/7855016/1/640x640.jpg,Chunky milk chocolate with raisins (13%) and biscuits (4%),,66,168,,,,,4.9,,,,,,,,,,,
8123825,McVitie's Jaffa Cake Jonuts Biscuits Single Serve Pack,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mcvities-jaffa-cake-jonuts-biscuits-single-serve-pack,0.85,https://assets.sainsburys-groceries.co.uk/gol/8123825/1/640x640.jpg,"1 Light Sponge Doughnut Shaped Ring with Orange Flavoured Filling, Covered in Dark Crackly Chocolate",,43,167,,,,,4.3,,,,,,,,,,,
8087406,Kit Kat Chunky Duo Milk Chocolate Chocolate Bar 64g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kitkat-chunky-duo-64g,1.15,https://assets.sainsburys-groceries.co.uk/gol/8087406/1/640x640.jpg,Crispy wafer fingers covered with thick milk chocolate (70%).,,64,165,,,,,4.8,,,,,,,,,,,
6821965,Walkers Baked Sea Salt Snacks Crisps 37.5g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-baked-ready-salted-crisps-375g,1.10,https://assets.sainsburys-groceries.co.uk/gol/6821965/1/640x640.jpg,Sea Salt Flavour Baked Potato Snack,,37.5,164,MEDIUM,LOW,MEDIUM,MEDIUM,3.8,,,,,,,,,,,
6821961,Walkers Baked Cheese & Onion Crisps Snacks 37.5g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-baked-cheese---onion-crisps-375g,1.10,https://assets.sainsburys-groceries.co.uk/gol/6821961/1/640x640.jpg,Cheese & Onion Flavour Baked Potato Snack,,37.5,164,MEDIUM,LOW,MEDIUM,MEDIUM,3.9,,,,,,,,,,,
8036911,Walkers Oven Baked Prawn Cocktail Flavoured Crisp Snacks 37.5g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-baked-prawn-cocktail-snack-375g,1.10,https://assets.sainsburys-groceries.co.uk/gol/8036911/1/640x640.jpg,Prawn Cocktail Flavour Baked Potato Snack with Sugar and Sweetener,,37.5,164,MEDIUM,LOW,MEDIUM,MEDIUM,5,,,,,,,,,,,
8036909,Walkers Baked Salt & Vinegar Crisps Snacks 37.5g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-baked-salt-vinegar-snack-375g,1.10,https://assets.sainsburys-groceries.co.uk/gol/8036909/1/640x640.jpg,Salt & malt vinegar flavour baked potato snack,,37.5,163,MEDIUM,LOW,MEDIUM,MEDIUM,4,,,,,,,,,,,
7094414,Cadbury Boost Duo Chocolate Bar 63g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-boost-duo-chocolate-bar-63g,1.30,https://assets.sainsburys-groceries.co.uk/gol/7094414/1/640x640.jpg,2 X Milk Chocolate Bars With Caramel (26 %) And Biscuit (3 %) Filling.,,63,162,,,,,4.9,,,,,,,,,,,
